Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position,League,Level
Frank Ysique,0.0,0.0,60.0,0.3,0.0,0.0,1.6,1.43,0.0,0.67,0.0,0.57,0.03,0.07,45.57,88.3,8.43,72.73,0.0,0.3,0.0,0.0,1.0,0.1,0.17,0.0,38.46,52.88,1.33,1.5,30,2,3,Peru Liga 1,3
Facundo Rodríguez,0.22,0.0,100.0,1.44,0.0,0.0,0.67,0.44,0.0,0.33,0.0,0.67,0.11,0.11,12.78,67.83,3.78,66.67,0.0,0.0,0.0,0.0,1.33,0.0,0.22,0.0,26.67,35.96,1.44,1.89,9,2,4,Peru Liga 1,3
Andy Vidal,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.04,0.04,0.04,0.04,21.78,54.93,2.0,36.59,3.56,0.11,0.26,0.04,1.41,0.22,0.0,0.0,71.43,70.0,0.04,0.0,27,2,1,Peru Liga 1,3
Alberto Quintero,0.13,0.06,50.0,1.03,0.0,0.0,0.91,0.28,0.0,0.22,0.0,0.16,0.16,0.09,29.53,80.63,9.22,63.49,0.0,0.13,0.0,0.0,0.53,0.03,0.13,0.0,36.36,53.2,1.97,0.63,32,3,3,Peru Liga 1,3
Miguel Vargas,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.59,0.0,0.07,0.03,0.03,22.03,74.65,1.34,51.68,2.55,0.38,0.28,0.1,0.86,0.28,0.07,0.0,50.0,60.0,0.1,0.0,29,2,1,Peru Liga 1,3
Alec Deneumostier,0.0,0.03,100.0,0.37,0.0,0.0,1.97,1.13,0.0,2.6,0.03,0.5,0.0,0.03,43.67,82.21,4.0,52.23,0.0,0.47,0.0,0.0,0.67,0.03,0.27,0.1,62.62,63.04,0.33,1.03,30,1,2,Peru Liga 1,3
Diego Saffadi,0.11,0.07,41.18,1.52,0.0,0.0,1.22,0.22,0.0,0.3,0.0,0.52,0.22,0.15,11.74,70.98,3.63,50.0,0.0,0.0,0.0,0.0,0.93,0.07,0.22,0.0,40.0,49.59,2.04,1.07,27,2,4,Peru Liga 1,3
Leandro Fleitas,0.03,0.0,80.0,0.41,0.03,0.0,0.79,2.03,0.0,4.17,0.0,0.21,0.0,0.03,42.24,79.1,3.03,56.81,0.0,0.21,0.0,0.0,1.03,0.14,0.24,0.0,60.22,53.98,0.41,1.14,29,3,2,Peru Liga 1,3
Sebastián Ramírez,0.0,0.1,100.0,1.2,0.0,0.0,1.0,1.6,0.0,3.5,0.0,0.1,0.1,0.0,27.0,72.59,4.1,51.92,0.0,0.6,0.0,0.0,1.6,0.1,0.6,0.1,60.0,62.3,1.0,1.2,10,3,2,Peru Liga 1,3
Gianfranco Chávez,0.07,0.07,100.0,0.32,0.04,0.0,1.11,1.96,0.04,3.07,0.04,0.18,0.04,0.0,38.89,84.57,2.5,43.03,0.0,0.36,0.0,0.0,0.96,0.18,0.29,0.0,49.12,56.43,0.68,0.93,28,2,2,Peru Liga 1,3
Leandro Sosa,0.14,0.09,61.76,1.26,0.0,0.0,0.69,0.29,0.0,0.46,0.0,0.49,0.06,0.11,23.2,82.64,7.86,59.68,0.0,0.09,0.0,0.0,0.63,0.11,0.03,0.0,37.5,52.11,1.11,0.23,35,2,3,Peru Liga 1,3
Jhon Marchán,0.0,0.0,60.0,0.95,0.0,0.0,0.95,0.37,0.0,0.11,0.0,0.58,0.26,0.11,13.42,74.51,4.95,58.62,0.0,0.0,0.0,0.0,0.95,0.05,0.32,0.0,35.71,48.76,0.63,0.84,19,2,3,Peru Liga 1,3
Hugo Ángeles,0.09,0.09,76.92,0.5,0.0,0.0,1.59,1.09,0.05,1.95,0.0,0.59,0.05,0.0,35.14,86.03,5.73,61.19,0.0,0.18,0.0,0.0,0.77,0.14,0.18,0.0,56.25,57.96,0.86,1.0,22,2,2,Peru Liga 1,3
Marcio Valverde,0.13,0.04,81.82,1.5,0.0,0.0,0.33,0.46,0.0,0.88,0.0,0.33,0.25,0.04,19.92,71.55,5.0,54.61,0.0,0.08,0.0,0.0,0.71,0.21,0.21,0.04,45.83,43.48,0.5,0.46,24,3,3,Peru Liga 1,3
Minzun Quina,0.13,0.07,75.0,0.67,0.0,0.95,1.3,1.57,0.03,3.63,0.0,0.4,0.0,0.0,35.17,76.59,5.07,49.28,0.0,0.17,0.0,0.0,1.13,0.17,0.3,0.0,56.44,54.63,0.53,1.2,30,3,2,Peru Liga 1,3
Lucas Rodríguez,0.08,0.0,81.82,1.31,0.0,0.0,3.69,1.31,0.0,1.23,0.0,1.38,0.0,0.08,30.38,74.18,6.46,47.92,0.0,0.08,0.0,0.0,1.54,0.15,0.31,0.0,41.38,56.21,1.31,1.38,13,2,3,Peru Liga 1,3
José Ataupillco,0.0,0.0,100.0,0.0,0.0,0.0,4.5,2.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,71.74,4.0,62.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,57.14,1.0,2.5,2,1,2,Peru Liga 1,3
Sergio Barboza,0.0,0.0,57.14,0.29,0.0,0.0,3.57,1.14,0.0,0.86,0.0,1.0,0.0,0.0,18.57,70.77,3.14,40.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,54.55,0.86,1.86,7,1,4,Peru Liga 1,3
Javier Núñez,0.29,0.1,47.5,1.24,0.05,0.0,0.76,0.71,0.0,0.29,0.0,0.62,0.1,0.0,17.9,71.01,5.29,57.78,0.0,0.1,0.0,0.0,0.67,0.24,0.14,0.0,43.75,47.33,1.38,1.05,21,2,3,Peru Liga 1,3
Brandon Palacios,0.38,0.19,50.0,1.19,0.0,0.0,1.13,0.81,0.0,0.31,0.0,0.5,0.13,0.06,16.13,71.32,3.13,48.28,0.0,0.0,0.0,0.0,1.44,0.31,0.44,0.0,50.0,50.76,1.25,0.88,16,2,3,Peru Liga 1,3
Victor Balta,0.13,0.03,0.0,0.6,0.07,0.0,1.03,1.0,0.03,4.03,0.0,0.17,0.0,0.0,38.53,85.12,1.77,48.88,0.0,0.37,0.0,0.0,0.87,0.17,0.27,0.07,63.64,60.22,0.5,1.1,30,3,2,Peru Liga 1,3
Luis Trujillo,0.1,0.03,50.0,0.84,0.0,0.54,0.65,1.0,0.0,0.68,0.0,0.26,0.06,0.06,22.1,73.72,5.42,50.0,0.0,0.0,0.0,0.0,0.84,0.06,0.06,0.0,47.37,48.46,0.58,0.61,31,3,2,Peru Liga 1,3
Joao Ortiz,0.0,0.0,44.44,0.63,0.0,0.0,1.67,1.78,0.04,1.41,0.0,0.89,0.19,0.0,30.7,67.19,5.7,42.41,0.0,0.15,0.0,0.0,1.26,0.19,0.33,0.04,55.17,55.25,1.67,0.96,27,3,2,Peru Liga 1,3
Diego Manicero,0.05,0.05,50.0,1.45,0.0,0.0,0.32,0.09,0.0,0.05,0.0,0.32,0.23,0.18,15.09,74.1,5.95,62.5,0.0,0.0,0.0,0.0,0.23,0.09,0.0,0.0,62.5,44.29,0.59,0.27,22,3,3,Peru Liga 1,3
Carlos Beltran,0.14,0.0,33.33,1.25,0.11,0.0,1.46,0.64,0.0,1.32,0.0,0.39,0.11,0.07,30.5,79.39,3.82,61.48,0.0,0.14,0.0,0.0,0.96,0.21,0.57,0.04,54.0,54.93,2.07,2.04,28,3,2,Peru Liga 1,3
Piero Guzman,0.17,0.0,66.67,0.5,0.08,0.0,0.58,1.08,0.0,3.5,0.0,0.25,0.0,0.0,34.08,80.93,3.83,52.04,0.0,0.33,0.0,0.0,0.42,0.17,0.17,0.08,68.75,55.32,0.33,0.75,12,1,2,Peru Liga 1,3
Ray Sandoval,0.43,0.1,48.28,1.48,0.0,2.38,0.76,0.19,0.0,0.43,0.0,0.57,0.14,0.1,19.86,76.74,6.67,65.22,0.0,0.14,0.0,0.0,0.9,0.1,0.33,0.0,34.78,48.37,2.43,1.14,21,2,3,Peru Liga 1,3
Rodrigo Cuba,0.14,0.1,100.0,0.43,0.05,0.0,1.38,1.33,0.0,2.62,0.0,0.67,0.0,0.0,30.81,76.82,2.9,44.9,0.0,0.24,0.0,0.0,1.33,0.1,0.24,0.0,60.0,58.16,0.38,0.71,21,3,2,Peru Liga 1,3
Nilson Loyola,0.11,0.04,45.0,0.67,0.0,0.0,1.48,1.33,0.04,1.52,0.0,0.48,0.04,0.07,33.15,82.79,7.44,50.56,0.0,0.3,0.0,0.0,0.93,0.11,0.33,0.0,49.02,50.3,0.37,0.89,27,2,2,Peru Liga 1,3
Diego Morales,0.08,0.04,48.81,1.19,0.0,0.0,1.38,0.27,0.0,0.08,0.0,0.65,0.19,0.15,35.0,77.14,12.54,58.62,0.0,0.04,0.0,0.0,0.73,0.08,0.12,0.0,37.14,49.28,1.81,0.77,26,3,3,Peru Liga 1,3
Jeremy Canela,0.13,0.03,58.82,1.4,0.0,0.0,1.07,0.47,0.0,0.47,0.0,0.43,0.13,0.13,11.13,74.85,3.37,37.93,0.0,0.1,0.0,0.0,0.63,0.2,0.27,0.0,30.0,54.75,1.9,0.7,30,2,3,Peru Liga 1,3
Jorge Palomino,0.09,0.0,37.5,0.18,0.0,0.0,2.27,1.09,0.09,0.91,0.0,0.55,0.09,0.09,12.64,81.29,2.45,62.5,0.0,0.27,0.0,0.0,0.82,0.0,0.36,0.0,50.0,57.81,0.45,1.36,11,2,3,Peru Liga 1,3
Fabrizio Roca,0.2,0.0,50.0,1.0,0.0,0.0,0.2,0.2,0.0,0.8,0.0,0.4,0.0,0.0,13.8,73.91,3.4,60.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,22.73,29.73,0.8,0.4,5,1,4,Peru Liga 1,3
José Miguel Manzaneda,0.16,0.1,63.46,1.23,0.03,0.0,1.19,0.35,0.0,0.58,0.0,0.68,0.13,0.13,22.13,80.9,8.39,60.0,0.0,0.06,0.0,0.0,0.87,0.19,0.03,0.0,39.58,46.67,1.19,1.1,31,2,4,Peru Liga 1,3
Cristian Bordacahar,0.03,0.17,41.67,1.3,0.03,0.0,1.03,0.43,0.0,0.67,0.0,0.83,0.33,0.07,28.27,68.87,8.07,31.33,0.0,0.2,0.0,0.0,0.3,0.03,0.17,0.03,51.92,44.89,0.93,0.9,30,3,4,Peru Liga 1,3
Carlos Caraza,0.0,0.0,34.48,0.44,0.0,0.0,1.76,2.24,0.0,1.52,0.0,1.0,0.12,0.08,33.56,78.67,7.28,54.69,0.0,0.2,0.0,0.0,0.6,0.2,0.2,0.0,52.5,45.5,0.64,1.12,25,3,2,Peru Liga 1,3
Jose Bolivar,0.0,0.0,65.12,0.27,0.0,0.0,2.3,2.0,0.07,2.03,0.0,0.77,0.1,0.03,33.27,74.45,5.8,45.45,0.0,0.27,0.0,0.0,1.33,0.1,0.2,0.0,40.48,55.78,0.87,1.07,30,1,3,Peru Liga 1,3
Johnny Vidales,0.13,0.08,48.89,1.42,0.0,0.0,0.33,0.25,0.0,0.58,0.0,0.38,0.21,0.08,17.46,76.37,6.58,80.0,0.0,0.04,0.0,0.0,0.54,0.08,0.17,0.0,20.0,36.3,0.63,0.71,24,3,3,Peru Liga 1,3
Ademar Robles,0.0,0.0,50.0,0.25,0.0,0.0,1.25,0.13,0.0,0.0,0.0,0.38,0.25,0.13,17.13,77.37,5.13,62.07,0.0,0.0,0.0,0.0,0.63,0.0,0.25,0.0,100.0,50.0,0.38,0.63,8,2,4,Peru Liga 1,3
Luciano Nieto,0.07,0.17,52.5,1.7,0.0,0.0,0.8,0.4,0.0,0.4,0.0,0.43,0.23,0.03,26.47,78.46,7.47,45.0,0.0,0.0,0.0,0.0,1.07,0.07,0.2,0.03,53.33,45.77,1.03,0.87,30,3,3,Peru Liga 1,3
Ángel Cayetano,0.06,0.06,25.0,1.0,0.0,0.0,1.63,0.81,0.0,1.38,0.0,0.44,0.0,0.0,35.19,69.45,4.94,43.4,0.0,0.19,0.0,0.0,0.88,0.06,0.31,0.0,72.73,61.11,0.44,1.31,16,3,2,Peru Liga 1,3
Beto Da Silva,0.17,0.1,41.77,1.63,0.03,0.0,1.1,0.43,0.0,0.53,0.0,0.33,0.1,0.07,20.63,77.71,5.77,63.41,0.0,0.0,0.0,0.0,0.53,0.13,0.1,0.0,39.29,45.68,1.3,1.2,30,2,3,Peru Liga 1,3
Ángel Ojeda,0.11,0.0,54.55,0.71,0.0,0.0,1.43,0.64,0.0,1.0,0.0,0.29,0.07,0.07,22.46,77.58,5.36,50.0,0.0,0.11,0.0,0.0,0.64,0.18,0.07,0.0,27.78,40.13,0.36,2.04,28,3,3,Peru Liga 1,3
Julio Landauri,0.17,0.0,55.56,0.5,0.0,0.0,1.17,0.0,0.0,0.17,0.0,0.42,0.0,0.25,22.75,75.09,7.83,36.36,0.0,0.0,0.0,0.0,1.08,0.42,0.25,0.0,0.0,53.23,1.17,0.5,12,3,3,Peru Liga 1,3
Joaquín Aguirre,0.1,0.1,56.0,0.71,0.0,0.0,1.65,1.52,0.03,2.0,0.0,0.71,0.1,0.1,29.65,72.58,6.23,43.23,0.0,0.26,0.0,0.0,1.06,0.32,0.32,0.03,48.94,51.67,0.65,1.03,31,2,2,Peru Liga 1,3
Herve Kambou,0.06,0.06,100.0,0.5,0.06,0.0,1.06,2.0,0.0,3.0,0.0,0.25,0.0,0.0,19.94,77.43,1.63,51.65,0.0,0.56,0.0,0.0,1.38,0.06,0.5,0.0,35.48,48.61,0.31,0.75,16,3,2,Peru Liga 1,3
Johan Madrid,0.0,0.0,44.12,0.1,0.0,0.0,1.26,1.06,0.03,1.61,0.0,0.29,0.1,0.13,36.9,82.52,8.35,58.68,0.0,0.39,0.0,0.0,0.94,0.06,0.23,0.0,60.0,51.58,1.06,1.06,31,2,2,Peru Liga 1,3
Othoniel Arce,0.18,0.27,45.45,1.91,0.09,0.0,0.18,0.27,0.0,0.09,0.0,0.45,0.09,0.09,20.91,66.09,5.82,55.56,0.0,0.0,0.0,0.0,1.09,0.09,0.18,0.0,53.7,47.57,1.27,0.82,11,3,4,Peru Liga 1,3
Yuriel Celi,0.13,0.07,36.54,1.23,0.0,0.0,1.1,0.5,0.0,0.87,0.0,0.63,0.13,0.07,22.8,75.44,6.27,58.18,0.0,0.1,0.0,0.0,1.0,0.17,0.2,0.03,50.98,46.67,1.6,1.2,30,1,3,Peru Liga 1,3
Jordan Guivin,0.13,0.07,25.0,1.4,0.0,0.0,1.87,0.53,0.0,0.67,0.0,0.47,0.0,0.0,43.73,87.65,10.4,68.33,0.0,0.33,0.0,0.0,0.4,0.07,0.07,0.07,44.44,48.8,1.6,1.6,15,2,3,Peru Liga 1,3
Emiliano Ciucci,0.03,0.07,56.52,1.03,0.0,0.0,1.67,1.3,0.0,2.33,0.0,0.53,0.0,0.0,38.7,77.95,4.3,48.66,0.0,0.2,0.0,0.0,1.13,0.23,0.2,0.03,66.67,58.84,1.33,1.57,30,3,3,Peru Liga 1,3
Cristian Florez,0.11,0.04,83.33,0.74,0.04,1.85,1.67,1.48,0.0,3.41,0.0,0.37,0.0,0.0,30.78,73.41,2.85,40.74,0.0,0.19,0.0,0.0,1.48,0.15,0.26,0.0,55.36,60.24,0.74,0.89,27,2,2,Peru Liga 1,3
Hideyoshi Arakaki,0.41,0.24,43.48,2.24,0.21,0.0,0.55,0.38,0.0,0.28,0.0,0.28,0.0,0.03,9.9,65.51,2.62,28.57,0.0,0.0,0.0,0.0,0.93,0.1,0.03,0.0,52.17,48.42,1.1,0.59,29,2,4,Peru Liga 1,3
Daniel Morales,0.09,0.0,81.82,0.86,0.0,0.91,0.68,0.23,0.0,0.36,0.0,0.23,0.09,0.05,15.41,79.65,4.36,60.0,0.0,0.05,0.0,0.0,0.59,0.14,0.14,0.0,35.71,49.33,0.36,0.73,22,3,3,Peru Liga 1,3
Ignacio Barrios,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,1.45,0.0,0.05,0.0,0.05,22.2,46.62,3.8,38.7,3.55,0.45,0.1,0.0,1.75,0.05,0.3,0.0,100.0,75.0,0.1,0.05,20,3,1,Peru Liga 1,3
Jesús Reyes,0.0,0.0,80.0,0.0,0.0,0.0,2.0,0.75,0.25,2.0,0.0,0.0,0.0,0.0,15.0,75.0,2.5,33.33,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,66.67,0.0,0.25,4,1,2,Peru Liga 1,3
Renato Solís,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.0,18.4,79.89,0.5,47.83,2.7,0.3,0.2,0.0,1.1,0.2,0.1,0.0,100.0,84.62,0.7,0.2,10,2,1,Peru Liga 1,3
Marco Saravia,0.07,0.03,33.33,0.41,0.0,0.0,1.24,1.14,0.0,3.69,0.0,0.28,0.07,0.07,50.07,82.23,4.38,52.81,0.0,0.17,0.0,0.0,1.55,0.17,0.21,0.07,67.57,64.33,0.45,0.69,29,1,2,Peru Liga 1,3
Iván Santillán,0.0,0.0,47.37,0.74,0.0,0.0,1.63,0.84,0.11,0.68,0.0,0.37,0.16,0.05,22.05,78.04,4.53,40.0,0.0,0.16,0.0,0.0,0.68,0.05,0.05,0.0,53.85,56.0,0.47,0.68,19,3,2,Peru Liga 1,3
Ronal Huaccha,0.24,0.32,73.68,1.65,0.0,0.0,0.21,0.12,0.0,0.18,0.0,0.12,0.06,0.09,12.76,75.35,4.5,50.0,0.0,0.0,0.0,0.0,0.47,0.06,0.0,0.0,34.38,42.86,0.47,0.38,34,2,4,Peru Liga 1,3
Hansell Riojas,0.11,0.0,66.67,0.33,0.0,0.0,1.78,1.56,0.0,2.22,0.0,0.89,0.0,0.0,47.33,80.52,4.89,54.64,0.0,0.22,0.0,0.0,0.67,0.56,0.44,0.11,53.33,53.57,1.0,1.11,9,3,2,Peru Liga 1,3
Matías Lazo,0.0,0.0,50.0,0.09,0.0,0.0,1.55,1.18,0.0,1.23,0.0,0.59,0.0,0.0,28.14,80.61,3.73,44.16,0.0,0.41,0.0,0.0,0.36,0.05,0.18,0.0,65.12,57.05,0.73,1.05,22,1,2,Peru Liga 1,3
Osnar Noronha,0.26,0.15,46.43,1.32,0.03,0.0,0.35,0.09,0.0,0.38,0.0,0.03,0.03,0.0,9.76,75.0,2.82,66.67,0.0,0.03,0.0,0.0,0.5,0.06,0.0,0.0,40.35,44.72,0.71,0.56,34,3,4,Peru Liga 1,3
Nicolás Royón,0.2,0.16,75.0,1.96,0.04,0.0,0.32,0.2,0.0,0.68,0.0,0.2,0.04,0.04,7.76,55.67,1.92,26.32,0.0,0.0,0.0,0.0,0.96,0.08,0.2,0.0,34.62,39.1,0.44,0.76,25,3,4,Peru Liga 1,3
Erinson Ramirez,0.06,0.06,31.03,1.94,0.0,0.0,0.38,0.13,0.0,0.19,0.0,0.19,0.19,0.13,18.69,74.92,6.06,60.78,0.0,0.0,0.0,0.0,1.25,0.0,0.19,0.06,28.57,41.46,1.06,0.44,16,2,4,Peru Liga 1,3
Alexis Rojas,0.42,0.13,46.75,1.1,0.03,0.0,0.9,0.68,0.0,0.35,0.0,0.45,0.13,0.03,22.06,73.39,6.0,40.82,0.0,0.03,0.0,0.0,1.77,0.23,0.06,0.03,46.67,51.07,2.65,0.77,31,2,3,Peru Liga 1,3
Adrián Ascues,0.32,0.03,54.67,1.68,0.0,0.0,1.03,0.29,0.0,0.29,0.0,0.55,0.1,0.06,26.77,77.23,7.71,47.96,0.0,0.03,0.0,0.0,0.97,0.19,0.16,0.0,24.14,43.62,1.61,1.16,31,1,3,Peru Liga 1,3
Daniel Franco,0.1,0.0,90.0,0.57,0.05,0.0,1.38,1.67,0.1,3.52,0.0,0.57,0.0,0.0,45.52,73.85,5.29,45.48,0.0,0.24,0.0,0.0,1.14,0.1,0.62,0.05,53.57,55.9,1.05,1.38,21,3,2,Peru Liga 1,3
Gabriel Leyes,0.47,0.0,41.86,2.2,0.0,0.0,0.67,0.07,0.0,0.93,0.0,0.2,0.33,0.47,15.2,58.33,2.8,52.38,0.0,0.07,0.0,0.0,1.73,0.13,0.27,0.13,55.24,46.61,2.27,2.0,15,3,4,Peru Liga 1,3
Luis Garro,0.0,0.0,56.52,0.54,0.0,0.0,2.42,1.77,0.08,1.81,0.0,0.77,0.08,0.04,22.62,76.87,4.19,39.19,0.0,0.27,0.0,0.0,1.35,0.08,0.27,0.0,48.48,56.56,1.31,1.31,26,2,2,Peru Liga 1,3
Jhilmar Lora,0.0,0.0,52.17,0.13,0.0,0.0,1.22,0.52,0.0,1.04,0.0,0.35,0.09,0.04,22.13,82.91,4.26,56.0,0.0,0.13,0.0,0.0,0.61,0.22,0.26,0.0,68.0,55.12,0.57,0.96,23,1,2,Peru Liga 1,3
Alexis Blanco,0.35,0.41,50.0,1.59,0.12,0.0,0.12,0.18,0.0,0.76,0.0,0.24,0.12,0.06,13.53,69.13,3.53,100.0,0.0,0.0,0.0,0.0,0.71,0.0,0.06,0.06,45.05,44.44,1.0,0.59,17,3,4,Peru Liga 1,3
Jair Céspedes,0.03,0.0,63.16,0.23,0.0,0.0,1.27,1.3,0.03,0.8,0.0,0.37,0.07,0.07,32.1,83.59,7.07,43.33,0.0,0.3,0.0,0.0,0.83,0.23,0.1,0.0,52.17,57.27,1.07,0.63,30,3,2,Peru Liga 1,3
Hoover Crespo,0.13,0.04,59.38,1.26,0.0,0.0,0.91,0.39,0.0,0.0,0.0,0.57,0.04,0.09,18.04,81.93,5.04,47.22,0.0,0.0,0.0,0.0,0.22,0.04,0.17,0.0,36.84,50.78,0.78,0.57,23,3,3,Peru Liga 1,3
Werner Schuler,0.0,0.0,50.0,0.42,0.0,0.0,0.81,1.65,0.06,4.52,0.0,0.19,0.03,0.03,30.84,77.72,1.19,49.77,0.0,0.19,0.0,0.0,1.35,0.13,0.1,0.0,53.91,52.97,0.39,0.9,31,3,2,Peru Liga 1,3
Carlos Diez,0.0,0.0,65.0,0.52,0.0,0.0,1.17,1.34,0.03,1.03,0.0,0.41,0.07,0.1,33.48,83.83,5.62,47.29,0.0,0.07,0.0,0.0,1.24,0.07,0.28,0.0,47.83,55.49,1.14,1.41,29,2,3,Peru Liga 1,3
Leonel Solís,0.1,0.1,84.38,0.43,0.0,0.0,2.0,1.1,0.0,0.86,0.0,0.81,0.1,0.05,51.1,89.84,7.57,68.12,0.0,0.14,0.0,0.0,1.52,0.19,0.1,0.0,33.33,47.85,1.14,1.9,21,2,3,Peru Liga 1,3
Alfonso Barco,0.0,0.0,25.0,0.63,0.0,0.0,1.29,0.75,0.04,0.83,0.0,0.71,0.08,0.04,29.63,84.95,5.08,60.92,0.0,0.08,0.0,0.0,0.42,0.0,0.25,0.0,58.33,50.43,0.54,1.21,24,1,3,Peru Liga 1,3
Yimy Gamero,0.07,0.03,56.25,1.13,0.0,0.0,1.43,0.83,0.0,0.63,0.0,0.9,0.03,0.03,35.57,85.38,6.03,64.49,0.0,0.17,0.0,0.0,0.5,0.17,0.17,0.0,45.76,49.52,0.83,0.83,30,1,3,Peru Liga 1,3
Jean Pierre Fuentes,0.0,0.25,0.0,0.75,0.0,0.0,1.33,0.33,0.0,2.17,0.0,0.5,0.17,0.08,24.58,71.19,3.5,52.38,0.0,0.17,0.0,0.0,0.67,0.08,0.17,0.0,65.63,60.76,0.92,1.0,12,3,3,Peru Liga 1,3
Marco Aldair Rodríguez,0.09,0.09,42.5,1.18,0.03,0.0,0.82,0.27,0.0,0.52,0.0,0.36,0.18,0.15,15.24,75.35,4.36,35.29,0.0,0.06,0.0,0.0,0.36,0.09,0.12,0.0,52.56,47.89,1.21,1.12,33,2,4,Peru Liga 1,3
Franco Zanelatto,0.27,0.27,34.92,1.58,0.0,0.0,1.12,0.73,0.0,0.35,0.0,0.69,0.04,0.12,14.54,69.31,3.85,37.5,0.0,0.19,0.0,0.0,0.73,0.19,0.08,0.0,47.06,48.26,2.23,1.0,26,1,3,Peru Liga 1,3
Jeremy Martin Rostaing,0.05,0.0,45.0,0.67,0.0,0.0,2.52,1.71,0.0,1.52,0.0,1.43,0.1,0.14,26.57,75.63,4.9,42.86,0.0,0.24,0.0,0.0,0.81,0.1,0.24,0.05,55.17,47.72,0.76,1.9,21,2,2,Peru Liga 1,3
Horacio Orzan,0.0,0.03,88.24,0.31,0.0,0.0,2.1,1.28,0.03,1.31,0.0,0.86,0.03,0.03,45.21,81.16,7.03,55.21,0.0,0.34,0.0,0.0,0.79,0.03,0.41,0.03,56.25,53.3,0.66,1.79,29,3,3,Peru Liga 1,3
Kenji Cabrera,0.06,0.18,50.0,0.53,0.0,0.0,0.76,0.12,0.0,0.0,0.0,0.24,0.12,0.06,14.71,78.4,6.41,70.59,0.0,0.06,0.0,0.0,0.35,0.06,0.18,0.0,40.0,52.94,1.0,0.53,17,1,3,Peru Liga 1,3
José Rivera,0.23,0.1,47.37,1.84,0.0,0.0,0.65,0.23,0.0,0.29,0.0,0.26,0.1,0.06,13.06,82.47,4.39,58.62,0.0,0.03,0.0,0.0,0.97,0.03,0.13,0.03,28.81,43.27,1.13,0.55,31,2,4,Peru Liga 1,3
Luis Alvarez,0.08,0.0,45.83,0.46,0.04,0.0,1.79,1.13,0.0,1.46,0.0,0.71,0.0,0.0,41.96,85.1,6.21,63.77,0.0,0.21,0.0,0.0,1.13,0.08,0.13,0.08,46.94,48.78,1.0,1.38,24,3,3,Peru Liga 1,3
Diego Melián,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.06,1.33,0.06,0.09,0.0,0.0,30.21,71.31,0.91,43.57,3.21,0.21,0.27,0.06,1.55,0.24,0.06,0.03,100.0,70.0,0.21,0.09,33,3,1,Peru Liga 1,3
Mauro Guevgeozian,0.39,0.22,28.57,1.5,0.17,0.0,0.22,0.11,0.06,1.0,0.0,0.28,0.0,0.0,12.17,62.56,2.5,35.29,0.0,0.0,0.0,0.0,0.83,0.11,0.17,0.0,50.0,42.86,1.11,1.33,18,3,4,Peru Liga 1,3
Facundo Curuchet,0.06,0.16,52.24,1.26,0.0,0.0,0.71,0.13,0.0,0.1,0.0,0.23,0.03,0.06,9.26,62.72,3.87,15.38,0.0,0.03,0.0,0.0,0.71,0.16,0.19,0.0,44.44,53.76,1.13,0.81,31,3,4,Peru Liga 1,3
Joel Sánchez,0.0,0.05,52.0,1.0,0.0,0.0,0.62,0.14,0.0,0.05,0.0,0.33,0.05,0.05,18.81,81.52,6.14,66.67,0.0,0.05,0.0,0.0,0.19,0.0,0.0,0.0,58.33,49.47,0.71,0.48,21,3,3,Peru Liga 1,3
Cristian Benavente,0.26,0.0,71.43,1.35,0.04,1.09,0.3,0.26,0.0,0.04,0.0,0.26,0.0,0.0,15.39,77.68,4.74,51.85,0.0,0.0,0.0,0.0,0.22,0.0,0.13,0.04,33.33,50.5,0.96,0.22,23,2,3,Peru Liga 1,3
Percy Liza,0.24,0.12,38.89,0.94,0.18,0.0,0.53,0.18,0.0,0.41,0.0,0.29,0.06,0.06,9.82,68.86,3.06,66.67,0.0,0.0,0.0,0.0,0.35,0.12,0.06,0.0,43.18,41.38,0.76,1.18,17,1,4,Peru Liga 1,3
Abdiel Arroyo,0.08,0.0,58.54,1.4,0.0,0.0,0.28,0.2,0.0,1.04,0.0,0.16,0.08,0.08,14.52,77.13,4.48,78.95,0.0,0.04,0.0,0.0,0.48,0.0,0.16,0.0,70.73,51.81,1.04,0.68,25,2,4,Peru Liga 1,3
